product,uf,volume,year_month,unit
GASOLINA C (m3),PARAÍBA,20989.708,2005-01-01,m3
GASOLINA C (m3),PERNAMBUCO,51558.509,2005-01-01,m3
GASOLINA C (m3),ALAGOAS,14056.401,2005-01-01,m3
GASOLINA C (m3),SERGIPE,12749.764,2005-01-01,m3
GASOLINA C (m3),BAHIA,84169.179,2005-01-01,m3
GASOLINA C (m3),MINAS GERAIS,213884.224,2005-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,34831.938,2005-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,154521.498,2005-01-01,m3
GASOLINA C (m3),SÃO PAULO,540210.582,2005-01-01,m3
GASOLINA C (m3),PARANÁ,127580.029,2005-01-01,m3
GASOLINA C (m3),SANTA CATARINA,1353068.925,2005-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,184473.192,2005-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,25448.105,2005-01-01,m3
GASOLINA C (m3),MATO GROSSO,29564.915,2005-01-01,m3
GASOLINA C (m3),GOIÁS,76927.935,2005-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,63588.64,2005-01-01,m3
GASOLINA C (m3),RONDÔNIA,15637.411,2006-01-01,m3
GASOLINA C (m3),ACRE,4312.826,2006-01-01,m3
GASOLINA C (m3),AMAZONAS,27765.021,2006-01-01,m3
GASOLINA C (m3),RORAIMA,3713.0,2006-01-01,m3
GASOLINA C (m3),PARÁ,34543.228,2006-01-01,m3
GASOLINA C (m3),AMAPÁ,4563.634,2006-01-01,m3
GASOLINA C (m3),TOCANTINS,9274.168,2006-01-01,m3
GASOLINA C (m3),MARANHÃO,306351.738,2006-01-01,m3
GASOLINA C (m3),PIAUÍ,19309.941,2006-01-01,m3
GASOLINA C (m3),CEARÁ,44867.955,2006-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,23560.661,2006-01-01,m3
GASOLINA C (m3),PARAÍBA,24829.84,2006-01-01,m3
GASOLINA C (m3),PERNAMBUCO,56263.791,2006-01-01,m3
GASOLINA C (m3),ALAGOAS,13172.839,2006-01-01,m3
GASOLINA C (m3),SERGIPE,13993.842,2006-01-01,m3
GASOLINA C (m3),BAHIA,82375.676,2006-01-01,m3
GASOLINA C (m3),MINAS GERAIS,213519.19,2006-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,38645.678,2006-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,135486.217,2006-01-01,m3
GASOLINA C (m3),SÃO PAULO,540321.394,2006-01-01,m3
GASOLINA C (m3),PARANÁ,1645806.401,2006-01-01,m3
GASOLINA C (m3),SANTA CATARINA,144765.067,2006-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,155948.186,2006-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,26981.736,2006-01-01,m3
GASOLINA C (m3),MATO GROSSO,32436.703,2006-01-01,m3
GASOLINA C (m3),GOIÁS,76071.29,2006-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,57433.852,2006-01-01,m3
GASOLINA C (m3),RONDÔNIA,16399.4818427454,2007-01-01,m3
GASOLINA C (m3),ACRE,4882.67897812401,2007-01-01,m3
GASOLINA C (m3),AMAZONAS,27996.8880024695,2007-01-01,m3
GASOLINA C (m3),RORAIMA,4621.94216699265,2007-01-01,m3
GASOLINA C (m3),PARÁ,34134.923319391,2007-01-01,m3
GASOLINA C (m3),AMAPÁ,5407.35603014227,2007-01-01,m3
GASOLINA C (m3),TOCANTINS,157048.592779404,2007-01-01,m3
GASOLINA C (m3),MARANHÃO,30905.6235302274,2007-01-01,m3
GASOLINA C (m3),PIAUÍ,17927.281347769,2007-01-01,m3
GASOLINA C (m3),CEARÁ,48480.1925696919,2007-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,21284.3971413623,2007-01-01,m3
GASOLINA C (m3),PARAÍBA,25790.4838012793,2007-01-01,m3
GASOLINA C (m3),PERNAMBUCO,50343.2373773748,2007-01-01,m3
GASOLINA C (m3),ALAGOAS,13290.0388782233,2007-01-01,m3
GASOLINA C (m3),SERGIPE,14246.606108523,2007-01-01,m3
GASOLINA C (m3),BAHIA,82177.3673066302,2007-01-01,m3
GASOLINA C (m3),MINAS GERAIS,237633.111331997,2007-01-01,m3
GASOLINA C (m3),ESPÍRITO SANTO,37610.3937147548,2007-01-01,m3
GASOLINA C (m3),RIO DE JANEIRO,131168.674604248,2007-01-01,m3
GASOLINA C (m3),SÃO PAULO,7153912.53003732,2007-01-01,m3
GASOLINA C (m3),PARANÁ,157981.42474008,2007-01-01,m3
GASOLINA C (m3),SANTA CATARINA,111236.961072292,2007-01-01,m3
GASOLINA C (m3),RIO GRANDE DO SUL,170834.51456687,2007-01-01,m3
GASOLINA C (m3),MATO GROSSO DO SUL,26090.4702904298,2007-01-01,m3
GASOLINA C (m3),MATO GROSSO,29871.4746624065,2007-01-01,m3
GASOLINA C (m3),GOIÁS,74045.7259911736,2007-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,60931.4933637908,2007-01-01,m3
GASOLINA C (m3),RONDÔNIA,16840.1996641882,2008-01-01,m3
GASOLINA C (m3),ACRE,5357.15382413646,2008-01-01,m3
GASOLINA C (m3),AMAZONAS,29934.8898093597,2008-01-01,m3
GASOLINA C (m3),RORAIMA,4455.76681722365,2008-01-01,m3
